Date,language,incoming_forecast,einstein_resolved_forecast,tickets_human,aht_sec,agents_needed,fte_planned,closable_tickets,gap_tickets,gap_agents,scenario
2025-07-21,English,0,30.0,0,642,0,0,0,0,0,80%
2025-07-21,French,0,4.0,0,641,0,0,0,0,0,80%
2025-07-21,German,0,4.0,0,535,0,0,0,0,0,80%
2025-07-21,Italian,0,3.0,0,658,0,0,0,0,0,80%
2025-07-21,Portuguese,0,1.0,0,599,0,0,0,0,0,80%
2025-07-21,Spanish,0,5.0,0,654,0,0,0,0,0,80%
2025-07-22,English,0,38.0,0,642,0,0,0,0,0,80%
2025-07-22,French,0,4.0,0,641,0,0,0,0,0,80%
2025-07-22,German,0,5.0,0,535,0,0,0,0,0,80%
2025-07-22,Italian,0,4.0,0,658,0,0,0,0,0,80%
2025-07-22,Portuguese,0,1.0,0,599,0,0,0,0,0,80%
2025-07-22,Spanish,0,7.0,0,654,0,0,0,0,0,80%
2025-07-23,English,0,31.0,0,642,0,0,0,0,0,80%
2025-07-23,French,0,4.0,0,641,0,0,0,0,0,80%
2025-07-23,German,0,4.0,0,535,0,0,0,0,0,80%
2025-07-23,Italian,0,3.0,0,658,0,0,0,0,0,80%
2025-07-23,Portuguese,0,1.0,0,599,0,0,0,0,0,80%
2025-07-23,Spanish,0,5.0,0,654,0,0,0,0,0,80%
2025-07-24,English,0,6.0,0,642,0,0,0,0,0,80%
2025-07-24,French,0,1.0,0,641,0,0,0,0,0,80%
2025-07-24,German,0,1.0,0,535,0,0,0,0,0,80%
2025-07-24,Italian,0,0.0,0,658,0,0,0,0,0,80%
2025-07-24,Portuguese,0,0.0,0,599,0,0,0,0,0,80%
2025-07-24,Spanish,0,1.0,0,654,0,0,0,0,0,80%
2025-07-25,English,0,10.0,0,642,0,0,0,0,0,80%
2025-07-25,French,0,1.0,0,641,0,0,0,0,0,80%
2025-07-25,German,0,2.0,0,535,0,0,0,0,0,80%
2025-07-25,Italian,0,1.0,0,658,0,0,0,0,0,80%
2025-07-25,Portuguese,0,0.0,0,599,0,0,0,0,0,80%
2025-07-25,Spanish,0,2.0,0,654,0,0,0,0,0,80%
2025-07-26,English,0,40.0,0,642,0,0,0,0,0,80%
2025-07-26,French,0,5.0,0,641,0,0,0,0,0,80%
2025-07-26,German,0,5.0,0,535,0,0,0,0,0,80%
2025-07-26,Italian,0,4.0,0,658,0,0,0,0,0,80%
2025-07-26,Portuguese,0,1.0,0,599,0,0,0,0,0,80%
2025-07-26,Spanish,0,7.0,0,654,0,0,0,0,0,80%
2025-07-27,English,0,30.0,0,642,0,0,0,0,0,80%
2025-07-27,French,0,3.0,0,641,0,0,0,0,0,80%
2025-07-27,German,0,4.0,0,535,0,0,0,0,0,80%
2025-07-27,Italian,0,3.0,0,658,0,0,0,0,0,80%
2025-07-27,Portuguese,0,1.0,0,599,0,0,0,0,0,80%
2025-07-27,Spanish,0,5.0,0,654,0,0,0,0,0,80%
2025-07-28,English,0,30.0,0,642,0,0,0,0,0,80%
2025-07-28,French,0,4.0,0,641,0,0,0,0,0,80%
2025-07-28,German,0,4.0,0,535,0,0,0,0,0,80%
2025-07-28,Italian,0,3.0,0,658,0,0,0,0,0,80%
2025-07-28,Portuguese,0,1.0,0,599,0,0,0,0,0,80%
2025-07-28,Spanish,0,5.0,0,654,0,0,0,0,0,80%
2025-07-29,English,0,38.0,0,642,0,0,0,0,0,80%
2025-07-29,French,0,4.0,0,641,0,0,0,0,0,80%
2025-07-29,German,0,5.0,0,535,0,0,0,0,0,80%
2025-07-29,Italian,0,4.0,0,658,0,0,0,0,0,80%
2025-07-29,Portuguese,0,1.0,0,599,0,0,0,0,0,80%
2025-07-29,Spanish,0,7.0,0,654,0,0,0,0,0,80%
2025-07-30,English,0,31.0,0,642,0,0,0,0,0,80%
2025-07-30,French,0,4.0,0,641,0,0,0,0,0,80%
2025-07-30,German,0,4.0,0,535,0,0,0,0,0,80%
2025-07-30,Italian,0,3.0,0,658,0,0,0,0,0,80%
2025-07-30,Portuguese,0,1.0,0,599,0,0,0,0,0,80%
2025-07-30,Spanish,0,5.0,0,654,0,0,0,0,0,80%
2025-07-31,English,0,6.0,0,642,0,0,0,0,0,80%
2025-07-31,French,0,1.0,0,641,0,0,0,0,0,80%
2025-07-31,German,0,1.0,0,535,0,0,0,0,0,80%
2025-07-31,Italian,0,0.0,0,658,0,0,0,0,0,80%
2025-07-31,Portuguese,0,0.0,0,599,0,0,0,0,0,80%
2025-07-31,Spanish,0,1.0,0,654,0,0,0,0,0,80%
2025-08-01,English,0,10.0,0,642,0,0,0,0,0,80%
2025-08-01,French,0,1.0,0,641,0,0,0,0,0,80%
2025-08-01,German,0,2.0,0,535,0,0,0,0,0,80%
2025-08-01,Italian,0,1.0,0,658,0,0,0,0,0,80%
2025-08-01,Portuguese,0,0.0,0,599,0,0,0,0,0,80%
2025-08-01,Spanish,0,2.0,0,654,0,0,0,0,0,80%
2025-08-02,English,0,40.0,0,642,0,0,0,0,0,80%
2025-08-02,French,0,5.0,0,641,0,0,0,0,0,80%
2025-08-02,German,0,5.0,0,535,0,0,0,0,0,80%
2025-08-02,Italian,0,4.0,0,658,0,0,0,0,0,80%
2025-08-02,Portuguese,0,1.0,0,599,0,0,0,0,0,80%
2025-08-02,Spanish,0,7.0,0,654,0,0,0,0,0,80%
2025-08-03,English,0,30.0,0,642,0,0,0,0,0,80%
2025-08-03,French,0,3.0,0,641,0,0,0,0,0,80%
2025-08-03,German,0,4.0,0,535,0,0,0,0,0,80%
2025-08-03,Italian,0,3.0,0,658,0,0,0,0,0,80%
2025-08-03,Portuguese,0,1.0,0,599,0,0,0,0,0,80%
2025-08-03,Spanish,0,5.0,0,654,0,0,0,0,0,80%
2025-08-04,English,0,30.0,0,642,0,0,0,0,0,80%
2025-08-04,French,0,4.0,0,641,0,0,0,0,0,80%
2025-08-04,German,0,4.0,0,535,0,0,0,0,0,80%
2025-08-04,Italian,0,3.0,0,658,0,0,0,0,0,80%
2025-08-04,Portuguese,0,1.0,0,599,0,0,0,0,0,80%
2025-08-04,Spanish,0,5.0,0,654,0,0,0,0,0,80%
2025-08-05,English,0,38.0,0,642,0,0,0,0,0,80%
2025-08-05,French,0,4.0,0,641,0,0,0,0,0,80%
2025-08-05,German,0,5.0,0,535,0,0,0,0,0,80%
2025-08-05,Italian,0,4.0,0,658,0,0,0,0,0,80%
2025-08-05,Portuguese,0,1.0,0,599,0,0,0,0,0,80%
2025-08-05,Spanish,0,7.0,0,654,0,0,0,0,0,80%
2025-08-06,English,0,31.0,0,642,0,0,0,0,0,80%
2025-08-06,French,0,4.0,0,641,0,0,0,0,0,80%
2025-08-06,German,0,4.0,0,535,0,0,0,0,0,80%
2025-08-06,Italian,0,3.0,0,658,0,0,0,0,0,80%
2025-08-06,Portuguese,0,1.0,0,599,0,0,0,0,0,80%
2025-08-06,Spanish,0,5.0,0,654,0,0,0,0,0,80%
2025-08-07,English,0,6.0,0,642,0,0,0,0,0,80%
2025-08-07,French,0,1.0,0,641,0,0,0,0,0,80%
2025-08-07,German,0,1.0,0,535,0,0,0,0,0,80%
2025-08-07,Italian,0,0.0,0,658,0,0,0,0,0,80%
2025-08-07,Portuguese,0,0.0,0,599,0,0,0,0,0,80%
2025-08-07,Spanish,0,1.0,0,654,0,0,0,0,0,80%
2025-08-08,English,0,10.0,0,642,0,0,0,0,0,80%
2025-08-08,French,0,1.0,0,641,0,0,0,0,0,80%
2025-08-08,German,0,2.0,0,535,0,0,0,0,0,80%
2025-08-08,Italian,0,1.0,0,658,0,0,0,0,0,80%
2025-08-08,Portuguese,0,0.0,0,599,0,0,0,0,0,80%
2025-08-08,Spanish,0,2.0,0,654,0,0,0,0,0,80%
2025-08-09,English,0,40.0,0,642,0,0,0,0,0,80%
2025-08-09,French,0,5.0,0,641,0,0,0,0,0,80%
2025-08-09,German,0,5.0,0,535,0,0,0,0,0,80%
